command,intent,target_type,attribute,spatial_relation,spatial_reference,position
open button to the right of the cart,open,button,NONE,right_of,cart,NONE
paste text to the right of the login,paste,text,NONE,right_of,login,NONE
scroll down to green text,scroll,text,green,NONE,NONE,NONE
long-press button above the cart,long-press,button,NONE,above,cart,NONE
press icon below the settings,click,icon,NONE,below,settings,NONE
click the 2nd image to the right of the search,click,image,NONE,right_of,search,2nd
trash text below the wi-fi,delete,text,NONE,below,wi-fi,NONE
tap on tab,tap,tab,NONE,NONE,NONE,NONE
trash the 2nd red image to the left of the cart,delete,image,red,left_of,cart,2nd
select switch below the cart,click,switch,NONE,below,cart,NONE
trash the 1st button,delete,button,NONE,NONE,NONE,1st
press and hold button to the right of the help,long-press,button,NONE,right_of,help,NONE
open white tab,open,tab,white,NONE,NONE,NONE
long-press the 3rd gray text,long-press,text,gray,NONE,NONE,3rd
press and hold text,long-press,text,NONE,NONE,NONE,NONE
paste text below the last item,paste,text,NONE,below,last item,NONE
tap on the 1st orange button to the left of the first email,tap,button,orange,left_of,first email,1st
press and hold icon,long-press,icon,NONE,NONE,NONE,NONE
open button next to the notifications,open,button,NONE,next_to,notifications,NONE
trash text to the left of the search,delete,text,NONE,left_of,search,NONE
scroll down to the 2nd tab above the menu,scroll,tab,NONE,above,menu,2nd
press and hold text to the right of the last item,long-press,text,NONE,right_of,last item,NONE
copy the 1st text above the last item,copy,text,NONE,above,last item,1st
long-press the last pink button next to the home,long-press,button,pink,next_to,home,last
tap on the 1st black switch,tap,switch,black,NONE,NONE,1st
scroll to menu to the left of the wi-fi,scroll,menu,NONE,left_of,wi-fi,NONE
tap icon next to the help,tap,icon,NONE,next_to,help,NONE
select checkbox next to the first email,click,checkbox,NONE,next_to,first email,NONE
press and hold green button below the profile,long-press,button,green,below,profile,NONE
remove image to the left of the address,delete,image,NONE,left_of,address,NONE
scroll down to the last green text,scroll,text,green,NONE,NONE,last
long-press image below the settings,long-press,image,NONE,below,settings,NONE
click on the 3rd image,click,image,NONE,NONE,NONE,3rd
press and hold the last icon below the wi-fi,long-press,icon,NONE,below,wi-fi,last
press and hold image to the right of the profile,long-press,image,NONE,right_of,profile,NONE
press button below the menu,click,button,NONE,below,menu,NONE
tap on checkbox next to the payment,tap,checkbox,NONE,next_to,payment,NONE
tap on the last blue switch,tap,switch,blue,NONE,NONE,last
click on the 1st checkbox,click,checkbox,NONE,NONE,NONE,1st
tap red icon,tap,icon,red,NONE,NONE,NONE
trash red image,delete,image,red,NONE,NONE,NONE
trash black button above the first email,delete,button,black,above,first email,NONE
paste text next to the last item,paste,text,NONE,next_to,last item,NONE
delete yellow image,delete,image,yellow,NONE,NONE,NONE
copy blue text to the left of the wi-fi,copy,text,blue,left_of,wi-fi,NONE
scroll down to menu to the left of the home,scroll,menu,NONE,left_of,home,NONE
launch purple button,open,button,purple,NONE,NONE,NONE
copy text next to the cart,copy,text,NONE,next_to,cart,NONE
copy white text below the login,copy,text,white,below,login,NONE
remove yellow text,delete,text,yellow,NONE,NONE,NONE
scroll to pink text below the notifications,scroll,text,pink,below,notifications,NONE
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
long-press button to the left of the profile,long-press,button,NONE,left_of,profile,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
launch link above the cart,open,link,NONE,above,cart,NONE
delete text to the right of the cart,delete,text,NONE,right_of,cart,NONE
tap on the 3rd checkbox,tap,checkbox,NONE,NONE,NONE,3rd
tap on icon,tap,icon,NONE,NONE,NONE,NONE
copy the 3rd text below the help,copy,text,NONE,below,help,3rd
paste text above the notifications,paste,text,NONE,above,notifications,NONE
press the last text next to the settings,click,text,NONE,next_to,settings,last
press image,click,image,NONE,NONE,NONE,NONE
long-press image above the checkout,long-press,image,NONE,above,checkout,NONE
launch menu to the left of the help,open,menu,NONE,left_of,help,NONE
tap on yellow tab next to the help,tap,tab,yellow,next_to,help,NONE
paste the 1st black text to the right of the wi-fi,paste,text,black,right_of,wi-fi,1st
press and hold button to the right of the first email,long-press,button,NONE,right_of,first email,NONE
scroll to orange tab below the login,scroll,tab,orange,below,login,NONE
click on text to the right of the last item,click,text,NONE,right_of,last item,NONE
copy purple text,copy,text,purple,NONE,NONE,NONE
launch icon to the left of the checkout,open,icon,NONE,left_of,checkout,NONE
tap on the 2nd switch below the help,tap,switch,NONE,below,help,2nd
scroll down to the 1st menu,scroll,menu,NONE,NONE,NONE,1st
scroll to tab to the left of the menu,scroll,tab,NONE,left_of,menu,NONE
scroll down to tab next to the first email,scroll,tab,NONE,next_to,first email,NONE
click on switch next to the help,click,switch,NONE,next_to,help,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
copy the 3rd white text above the menu,copy,text,white,above,menu,3rd
paste red text below the first email,paste,text,red,below,first email,NONE
paste the 3rd purple text,paste,text,purple,NONE,NONE,3rd
scroll to gray menu to the right of the address,scroll,menu,gray,right_of,address,NONE
launch icon next to the cart,open,icon,NONE,next_to,cart,NONE
copy the last text above the home,copy,text,NONE,above,home,last
press and hold button,long-press,button,NONE,NONE,NONE,NONE
open button below the first email,open,button,NONE,below,first email,NONE
scroll down to white tab to the left of the payment,scroll,tab,white,left_of,payment,NONE
press and hold image,long-press,image,NONE,NONE,NONE,NONE
copy text next to the first email,copy,text,NONE,next_to,first email,NONE
delete image,delete,image,NONE,NONE,NONE,NONE
click the last checkbox,click,checkbox,NONE,NONE,NONE,last
tap on green button,tap,button,green,NONE,NONE,NONE
remove button to the right of the checkout,delete,button,NONE,right_of,checkout,NONE
launch blue button above the address,open,button,blue,above,address,NONE
trash red image above the wi-fi,delete,image,red,above,wi-fi,NONE
trash blue image,delete,image,blue,NONE,NONE,NONE
launch yellow menu to the left of the settings,open,menu,yellow,left_of,settings,NONE
copy green text,copy,text,green,NONE,NONE,NONE
open the last icon,open,icon,NONE,NONE,NONE,last
scroll to purple text to the left of the search,scroll,text,purple,left_of,search,NONE
tap on the 1st black link,tap,link,black,NONE,NONE,1st
delete text to the left of the notifications,delete,text,NONE,left_of,notifications,NONE
copy the 3rd purple text to the left of the checkout,copy,text,purple,left_of,checkout,3rd
long-press the 3rd black text,long-press,text,black,NONE,NONE,3rd
delete button below the home,delete,button,NONE,below,home,NONE
remove the 2nd green image below the settings,delete,image,green,below,settings,2nd
open button,open,button,NONE,NONE,NONE,NONE
open blue menu,open,menu,blue,NONE,NONE,NONE
launch icon,open,icon,NONE,NONE,NONE,NONE
tap on button next to the home,tap,button,NONE,next_to,home,NONE
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
scroll to the 3rd menu,scroll,menu,NONE,NONE,NONE,3rd
scroll to the 1st tab below the help,scroll,tab,NONE,below,help,1st
launch yellow link,open,link,yellow,NONE,NONE,NONE
long-press icon next to the notifications,long-press,icon,NONE,next_to,notifications,NONE
scroll down to green text,scroll,text,green,NONE,NONE,NONE
press and hold the 3rd green image to the left of the help,long-press,image,green,left_of,help,3rd
open button,open,button,NONE,NONE,NONE,NONE
paste text next to the profile,paste,text,NONE,next_to,profile,NONE
copy text to the right of the address,copy,text,NONE,right_of,address,NONE
paste the 1st orange text above the first email,paste,text,orange,above,first email,1st
copy purple text,copy,text,purple,NONE,NONE,NONE
remove button,delete,button,NONE,NONE,NONE,NONE
copy text next to the help,copy,text,NONE,next_to,help,NONE
scroll to text,scroll,text,NONE,NONE,NONE,NONE
trash the 3rd black image above the payment,delete,image,black,above,payment,3rd
paste text above the wi-fi,paste,text,NONE,above,wi-fi,NONE
copy the 2nd text,copy,text,NONE,NONE,NONE,2nd
paste text to the left of the search,paste,text,NONE,left_of,search,NONE
click the last link below the cart,click,link,NONE,below,cart,last
copy text,copy,text,NONE,NONE,NONE,NONE
scroll down to menu to the right of the profile,scroll,menu,NONE,right_of,profile,NONE
open red tab to the left of the payment,open,tab,red,left_of,payment,NONE
tap on yellow button,tap,button,yellow,NONE,NONE,NONE
long-press red icon to the right of the first email,long-press,icon,red,right_of,first email,NONE
trash the 1st orange image,delete,image,orange,NONE,NONE,1st
open orange tab above the help,open,tab,orange,above,help,NONE
tap the 3rd icon,tap,icon,NONE,NONE,NONE,3rd
remove purple text,delete,text,purple,NONE,NONE,NONE
paste black text,paste,text,black,NONE,NONE,NONE
scroll to menu below the profile,scroll,menu,NONE,below,profile,NONE
paste text below the last item,paste,text,NONE,below,last item,NONE
tap on button,tap,button,NONE,NONE,NONE,NONE
launch link below the first email,open,link,NONE,below,first email,NONE
open menu to the right of the checkout,open,menu,NONE,right_of,checkout,NONE
delete red image next to the payment,delete,image,red,next_to,payment,NONE
copy text next to the search,copy,text,NONE,next_to,search,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
copy the 2nd white text to the right of the settings,copy,text,white,right_of,settings,2nd
paste text,paste,text,NONE,NONE,NONE,NONE
click on switch to the left of the wi-fi,click,switch,NONE,left_of,wi-fi,NONE
press and hold the 1st text next to the login,long-press,text,NONE,next_to,login,1st
trash gray button to the left of the wi-fi,delete,button,gray,left_of,wi-fi,NONE
paste red text to the left of the settings,paste,text,red,left_of,settings,NONE
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd
copy text to the left of the cart,copy,text,NONE,left_of,cart,NONE
tap the 1st purple tab to the left of the help,tap,tab,purple,left_of,help,1st
paste the 3rd black text below the address,paste,text,black,below,address,3rd
press and hold the last red icon to the left of the cart,long-press,icon,red,left_of,cart,last
click on black link next to the address,click,link,black,next_to,address,NONE
trash the 1st green image,delete,image,green,NONE,NONE,1st
press link below the search,click,link,NONE,below,search,NONE
remove text,delete,text,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
long-press button,long-press,button,NONE,NONE,NONE,NONE
press and hold the 2nd text below the home,long-press,text,NONE,below,home,2nd
copy blue text next to the checkout,copy,text,blue,next_to,checkout,NONE
scroll to yellow tab next to the last item,scroll,tab,yellow,next_to,last item,NONE
delete text,delete,text,NONE,NONE,NONE,NONE
open the 1st link next to the settings,open,link,NONE,next_to,settings,1st
open purple tab below the menu,open,tab,purple,below,menu,NONE
tap icon next to the menu,tap,icon,NONE,next_to,menu,NONE
trash text,delete,text,NONE,NONE,NONE,NONE
tap on the 2nd red button,tap,button,red,NONE,NONE,2nd
tap switch above the last item,tap,switch,NONE,above,last item,NONE
long-press button next to the notifications,long-press,button,NONE,next_to,notifications,NONE
click on icon above the menu,click,icon,NONE,above,menu,NONE
long-press button,long-press,button,NONE,NONE,NONE,NONE
paste text above the login,paste,text,NONE,above,login,NONE
open menu,open,menu,NONE,NONE,NONE,NONE
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
paste text below the last item,paste,text,NONE,below,last item,NONE
delete text below the help,delete,text,NONE,below,help,NONE
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE
trash text to the left of the home,delete,text,NONE,left_of,home,NONE
click on orange icon,click,icon,orange,NONE,NONE,NONE
open menu to the right of the settings,open,menu,NONE,right_of,settings,NONE
tap white link to the right of the notifications,tap,link,white,right_of,notifications,NONE
open purple button above the checkout,open,button,purple,above,checkout,NONE
select pink switch,click,switch,pink,NONE,NONE,NONE
tap on the last button next to the payment,tap,button,NONE,next_to,payment,last
press and hold button below the address,long-press,button,NONE,below,address,NONE
trash pink text above the menu,delete,text,pink,above,menu,NONE
press and hold the 3rd purple button to the left of the search,long-press,button,purple,left_of,search,3rd
paste the 3rd text next to the first email,paste,text,NONE,next_to,first email,3rd
launch menu below the search,open,menu,NONE,below,search,NONE
copy black text to the left of the search,copy,text,black,left_of,search,NONE
launch button above the notifications,open,button,NONE,above,notifications,NONE
press and hold the 2nd button above the login,long-press,button,NONE,above,login,2nd
scroll down to the 3rd menu above the menu,scroll,menu,NONE,above,menu,3rd
press and hold the 1st text to the right of the menu,long-press,text,NONE,right_of,menu,1st
click on image,click,image,NONE,NONE,NONE,NONE
